email,password,phone_number
test@example.com,password123,12025550173
admin@company.com,12345678,447911123456
user123@gmail.com,qwertyuiop,919876543210
john.doe@yahoo.com,letmein,61412345678
alice.smith@outlook.com,iloveyou,491701234567
mike.brown@protonmail.com,monkey123,33123456789
david.wilson@gmail.com,trustno1,8175550199
jessica.lee@icloud.com,sunshine,491512345678
charlie.adams@outlook.com,princess,15551234567
olivia.martin@yahoo.com,123abc456,442012345678
robert.jones@hotmail.com,dragon123,61234567890
stephanie.taylor@gmail.com,welcome1,19876543210
william.white@aol.com,password1,61498765432
elizabeth.harris@live.com,football,15559876543
daniel.evans@company.net,superman,8123456789
sophia.roberts@business.org,letmein123,491601234567
andrew.clark@securemail.com,987654321,61212345678
